timestamp,MEXC_BTC/USDT_Ask,MEXC_BTC/USDT_Bid,Bybit_BTCUSDC_Ask,Bybit_BTCUSDC_Bid,Diff
2023-09-03 12:22:35,25916.14,25916.13,25913.91,25910.52,-2.2299999999995634
2023-09-03 12:22:36,25916.14,25916.13,25913.97,25910.52,-2.1699999999982538
2023-09-03 12:22:38,25916.14,25916.13,25913.11,25910.52,-3.029999999998836
2023-09-03 12:22:39,25915.76,25915.75,25913.11,25910.52,-2.649999999997817
2023-09-03 12:22:41,25915.76,25915.75,25913.67,25910.54,-2.0900000000001455
2023-09-03 12:22:42,25915.76,25915.75,25913.72,25910.54,-2.039999999997235
2023-09-03 12:22:45,25915.76,25915.75,25913.68,25910.54,-2.0799999999981083
2023-09-03 12:22:46,25915.76,25915.75,25913.73,25910.54,-2.029999999998836
2023-09-03 12:22:48,25915.76,25915.75,25913.46,25910.54,-2.2999999999992724
2023-09-03 12:22:50,25915.76,25915.75,25913.73,25910.55,-2.029999999998836
2023-09-03 12:22:52,25915.76,25915.75,25913.69,25910.55,-2.069999999999709
2023-09-03 12:22:53,25915.76,25915.75,25913.73,25910.55,-2.029999999998836
2023-09-03 12:22:56,25915.76,25915.75,25913.71,25910.54,-2.0499999999992724
2023-09-03 12:22:58,25915.76,25915.75,25913.71,25910.54,-2.0499999999992724
2023-09-03 12:23:00,25915.76,25915.75,25913.71,25910.55,-2.0499999999992724
2023-09-03 12:23:01,25915.76,25915.75,25913.65,25910.54,-2.109999999996944
2023-09-03 12:23:03,25915.76,25915.75,25913.63,25910.54,-2.1299999999973807
2023-09-03 12:23:05,25915.76,25915.75,25913.63,25910.54,-2.1299999999973807
2023-09-03 12:23:07,25915.76,25915.75,25913.63,25910.54,-2.1299999999973807
2023-09-03 12:23:09,25915.76,25915.75,25915.92,25911.61,0.15999999999985448
2023-09-03 12:23:11,25915.76,25915.75,25916.48,25912.46,0.7200000000011642
2023-09-03 12:23:12,25915.76,25915.75,25916.47,25912.46,0.7100000000027649
2023-09-03 12:23:14,25915.76,25915.75,25916.48,25912.46,0.7200000000011642
2023-09-03 12:23:16,25915.76,25915.75,25912.72,25910.78,-3.039999999997235
2023-09-03 12:23:18,25915.76,25915.75,25912.72,25910.55,-3.039999999997235
2023-09-03 12:23:19,25915.76,25915.75,25912.72,25910.55,-3.039999999997235
2023-09-03 12:23:21,25915.76,25915.75,25912.72,25910.55,-3.039999999997235
2023-09-03 12:23:23,25915.76,25915.75,25912.72,25910.54,-3.039999999997235
2023-09-03 12:23:25,25915.76,25915.75,25912.72,25910.54,-3.039999999997235
2023-09-03 12:23:27,25915.76,25915.75,25913.99,25910.58,-1.7699999999967986
2023-09-03 12:23:29,25915.76,25915.75,25913.99,25910.57,-1.7699999999967986
2023-09-03 12:23:31,25915.76,25915.75,25913.99,25910.57,-1.7699999999967986
2023-09-03 12:23:32,25915.76,25915.75,25913.98,25910.55,-1.7799999999988358
2023-09-03 12:23:34,25915.76,25915.75,25913.99,25910.57,-1.7699999999967986
2023-09-03 12:23:35,25915.76,25915.75,25913.99,25910.57,-1.7699999999967986
2023-09-03 12:23:37,25915.76,25915.75,25913.96,25910.55,-1.7999999999992724
2023-09-03 12:23:38,25915.76,25915.75,25913.99,25910.55,-1.7699999999967986
2023-09-03 12:23:40,25915.76,25915.75,25913.99,25910.55,-1.7699999999967986
2023-09-03 12:23:42,25915.76,25915.75,25913.95,25910.55,-1.8099999999976717
2023-09-03 12:23:44,25915.76,25915.75,25913.99,25910.55,-1.7699999999967986
2023-09-03 12:23:45,25915.76,25915.75,25913.97,25910.55,-1.7899999999972351
2023-09-03 12:23:47,25915.76,25915.75,25913.99,25910.55,-1.7699999999967986
2023-09-03 12:23:48,25915.76,25915.75,25913.95,25910.55,-1.8099999999976717
2023-09-03 12:23:51,25915.76,25915.75,25913.95,25910.55,-1.8099999999976717
2023-09-03 12:23:53,25915.76,25915.75,25913.97,25910.55,-1.7899999999972351
2023-09-03 12:23:54,25915.76,25915.75,25913.99,25910.55,-1.7699999999967986
2023-09-03 12:23:56,25915.76,25915.75,25913.97,25910.55,-1.7899999999972351
2023-09-03 12:23:57,25915.76,25915.75,25913.95,25910.55,-1.8099999999976717
2023-09-03 12:23:59,25915.76,25915.75,25913.94,25910.55,-1.819999999999709
2023-09-03 12:24:01,25915.2,25915.19,25910.5,25910.0,-4.700000000000728
2023-09-03 12:24:02,25914.96,25914.95,25910.5,25910.0,-4.459999999999127
2023-09-03 12:24:04,25914.78,25914.77,25910.5,25910.0,-4.279999999998836
2023-09-03 12:24:06,25914.78,25914.77,25910.5,25909.88,-4.279999999998836
2023-09-03 12:24:08,25914.6,25914.59,25912.86,25909.88,-1.7399999999979627
2023-09-03 12:24:09,25913.83,25913.82,25912.65,25909.88,-1.180000000000291
2023-09-03 12:24:11,25913.65,25913.64,25912.64,25909.88,-1.0100000000020373
2023-09-03 12:24:12,25913.65,25913.64,25912.64,25909.88,-1.0100000000020373
2023-09-03 12:24:14,25913.65,25913.64,25912.64,25909.88,-1.0100000000020373
2023-09-03 12:24:15,25913.65,25913.64,25912.64,25909.88,-1.0100000000020373
2023-09-03 12:24:17,25913.65,25913.64,25912.64,25909.88,-1.0100000000020373
2023-09-03 12:24:18,25913.65,25913.64,25912.64,25909.88,-1.0100000000020373
2023-09-03 12:24:20,25913.65,25913.64,25912.63,25909.88,-1.0200000000004366
2023-09-03 12:24:22,25913.65,25913.64,25912.89,25909.88,-0.7600000000020373
2023-09-03 12:24:24,25913.65,25913.64,25912.89,25909.88,-0.7600000000020373
2023-09-03 12:24:25,25913.65,25913.64,25912.89,25909.88,-0.7600000000020373
2023-09-03 12:24:27,25913.65,25913.64,25912.89,25909.88,-0.7600000000020373
2023-09-03 12:24:29,25913.65,25913.64,25912.87,25909.88,-0.7800000000024738
2023-09-03 12:24:30,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:32,25913.65,25913.64,25912.9,25909.88,-0.75
2023-09-03 12:24:34,25913.65,25913.64,25912.87,25909.88,-0.7800000000024738
2023-09-03 12:24:36,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:37,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:39,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:41,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:43,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:44,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:46,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:47,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:49,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:51,25913.65,25913.64,25912.87,25909.88,-0.7800000000024738
2023-09-03 12:24:52,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
