timestamp,Binance_BTCTUSD_bid,Binance_BTCTUSD_ask,Deribit_BTCPERPETUAL_bid,Deribit_BTCPERPETUAL_ask,Bitget_BTCUSDTUMCBL_bid,Bitget_BTCUSDTUMCBL_ask
2023-08-04 16:48:32,29260.84,29261.78,29294.5,29295.0,29273.5,29274.0
2023-08-04 16:48:43,29259.05,29260.1,29294.5,29295.0,29273.5,29274.0
2023-08-04 16:48:54,29257.05,29257.5,29294.5,29295.0,29273.5,29274.0
2023-08-04 16:49:05,29258.4,29259.35,29294.5,29295.0,29272.0,29272.5
2023-08-04 16:49:16,29259.11,29259.77,29294.5,29295.0,29273.0,29273.5
2023-08-04 16:49:27,29260.02,29260.62,29294.5,29295.0,29273.5,29274.0
2023-08-04 16:49:38,29258.63,29259.31,29294.5,29295.0,29274.5,29275.0
2023-08-04 16:49:49,29259.12,29259.75,29294.5,29295.0,29274.5,29275.0
2023-08-04 16:50:00,29258.94,29259.82,29294.5,29295.0,29274.5,29275.0
2023-08-04 16:50:11,29246.88,29247.71,29287.0,29287.5,29267.0,29267.5
2023-08-04 16:50:22,29244.23,29244.88,29285.0,29285.5,29265.0,29265.5
2023-08-04 16:50:32,29250.19,29251.61,29283.0,29283.5,29263.0,29263.5
2023-08-04 16:50:43,29250.54,29251.51,29283.0,29283.5,29265.0,29265.5
2023-08-04 16:50:54,29252.48,29253.39,29283.0,29283.5,29265.0,29265.5
2023-08-04 16:51:05,29248.01,29248.95,29287.5,29288.0,29266.0,29266.5
2023-08-04 16:51:16,29253.2,29253.99,29287.5,29288.0,29265.5,29266.0
2023-08-04 16:51:27,29248.33,29249.3,29287.5,29288.0,29266.0,29266.5
2023-08-04 16:51:38,29246.51,29247.23,29287.5,29288.0,29264.0,29264.5
2023-08-04 16:51:48,29244.5,29245.15,29287.5,29288.0,29262.5,29263.0
2023-08-04 16:51:59,29244.08,29244.89,29285.5,29286.0,29262.5,29263.0
2023-08-04 16:52:10,29229.13,29230.87,29271.0,29271.5,29251.0,29251.5
2023-08-04 16:52:22,29228.84,29229.25,29270.0,29270.5,29243.0,29243.5
2023-08-04 16:52:32,29233.24,29234.28,29270.0,29270.5,29244.5,29245.0
2023-08-04 16:54:44,29230.56,29230.99,29271.0,29271.5,29249.5,29250.0
2023-08-04 16:54:54,29237.06,29237.77,29271.0,29271.5,29250.5,29251.0
2023-08-04 17:12:48,29224.13,29225.03,29261.0,29261.5,29241.5,29242.0
2023-08-04 17:12:59,29226.51,29227.06,29261.0,29261.5,29241.5,29242.0
2023-08-04 17:13:10,29230.27,29230.88,29266.5,29267.0,29241.5,29242.0
2023-08-04 17:13:22,29229.16,29229.75,29266.5,29267.0,29246.5,29247.0
2023-08-04 17:13:35,29233.0,29233.59,29266.5,29267.0,29247.0,29247.5
2023-08-04 17:13:47,29231.0,29231.96,29266.5,29267.0,29247.0,29247.5
2023-08-04 17:24:15,29208.98,29209.46,29254.5,29255.0,29230.0,29230.5
2023-08-04 17:24:26,29209.32,29210.0,29254.5,29255.0,29230.0,29230.5
2023-08-04 17:24:38,29208.8,29209.58,29254.5,29255.0,29230.5,29231.0
2023-08-04 17:24:49,29213.07,29213.57,29254.5,29255.0,29230.5,29231.0
2023-08-04 17:25:00,29212.45,29213.45,29254.5,29255.0,29230.5,29231.0
2023-08-04 17:25:11,29214.72,29215.3,29254.5,29255.0,29230.5,29231.0
2023-08-04 17:25:21,29214.01,29214.79,29256.0,29256.5,29236.0,29236.5
2023-08-04 17:25:32,29217.41,29218.16,29256.0,29256.5,29237.0,29237.5
2023-08-04 17:25:43,29214.8,29215.53,29256.0,29256.5,29235.5,29236.0
2023-08-04 17:25:54,29220.98,29221.09,29256.0,29256.5,29240.0,29240.5
2023-08-04 17:26:05,29223.29,29223.5,29256.5,29257.0,29240.5,29241.0
2023-08-04 17:26:15,29219.91,29220.79,29256.5,29257.0,29241.5,29242.0
2023-08-04 17:26:26,29227.27,29227.72,29265.0,29265.5,29247.0,29247.5
2023-08-04 17:26:37,29227.56,29227.98,29265.0,29265.5,29248.0,29248.5
2023-08-04 17:26:48,29227.53,29227.88,29265.0,29265.5,29248.0,29248.5
2023-08-04 17:26:58,29225.22,29226.0,29265.0,29265.5,29245.5,29246.0
2023-08-04 17:27:09,29224.83,29225.98,29265.0,29265.5,29246.0,29246.5
2023-08-04 17:27:20,29223.59,29224.18,29265.0,29265.5,29245.5,29246.0
2023-08-04 17:27:30,29224.46,29225.25,29265.0,29265.5,29245.5,29246.0
2023-08-04 17:27:42,29227.02,29227.31,29265.0,29265.5,29245.5,29246.0
2023-08-04 17:27:52,29229.49,29229.99,29265.0,29265.5,29248.0,29248.5
2023-08-04 17:28:03,29228.42,29229.39,29265.0,29265.5,29248.0,29248.5
2023-08-04 17:28:14,29230.81,29230.99,29265.0,29265.5,29248.0,29248.5
2023-08-04 17:28:25,29228.38,29229.36,29265.0,29265.5,29248.5,29249.0
2023-08-04 17:28:35,29229.1,29229.32,29265.0,29265.5,29248.5,29249.0
2023-08-04 17:28:46,29229.63,29229.81,29265.0,29265.5,29249.0,29249.5
2023-08-04 17:28:57,29228.87,29229.26,29265.0,29265.5,29249.0,29249.5
2023-08-04 17:29:08,29228.57,29229.17,29265.0,29265.5,29249.0,29249.5
2023-08-04 17:29:19,29228.98,29229.53,29265.0,29265.5,29249.0,29249.5
2023-08-04 17:29:30,29229.77,29230.53,29265.0,29265.5,29249.0,29249.5
2023-08-04 17:29:41,29228.78,29229.29,29265.0,29265.5,29249.0,29249.5
2023-08-04 17:29:52,29229.17,29229.98,29265.0,29265.5,29249.0,29249.5
2023-08-04 17:30:03,29229.85,29230.94,29265.0,29265.5,29248.5,29249.0
2023-08-04 17:30:13,29229.6,29230.89,29265.0,29265.5,29248.5,29249.0
2023-08-04 17:30:24,29228.4,29229.67,29265.0,29265.5,29248.5,29249.0
2023-08-04 17:30:35,29229.86,29230.61,29265.0,29265.5,29248.5,29249.0
