timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_ETHPERPCMCBL_bid,Bitget_ETHPERPCMCBL_ask
2023-08-01 01:14:34,1862.02,1862.14,1863.05,1863.1,1861.85,1861.95
2023-08-01 01:15:05,1862.35,1862.52,1863.4,1863.45,1861.84,1861.94
2023-08-01 01:15:36,1861.45,1861.6,1862.7,1862.75,1861.24,1861.34
2023-08-01 01:16:06,1861.02,1861.19,1862.0,1862.05,1860.73,1860.83
2023-08-01 01:16:37,1860.94,1861.06,1862.2,1862.25,1860.73,1860.83
2023-08-01 01:17:08,1860.75,1860.86,1862.2,1862.25,1860.52,1860.62
2023-08-01 01:17:38,1860.54,1860.66,1861.85,1861.9,1860.5,1860.6
2023-08-01 01:18:09,1861.1,1861.19,1861.85,1861.9,1860.5,1860.6
2023-08-01 01:18:40,1860.66,1860.79,1861.85,1861.9,1860.16,1860.26
2023-08-01 01:19:11,1860.59,1860.74,1861.6,1861.65,1860.16,1860.26
2023-08-01 01:19:41,1860.73,1860.88,1861.6,1861.65,1860.16,1860.26
2023-08-01 01:20:12,1860.46,1860.58,1861.6,1861.65,1860.16,1860.26
2023-08-01 01:20:43,1860.42,1860.52,1861.6,1861.65,1860.16,1860.26
2023-08-01 01:21:13,1860.57,1860.71,1861.6,1861.65,1860.16,1860.26
2023-08-01 01:21:44,1859.93,1860.11,1861.2,1861.25,1860.16,1860.26
2023-08-01 01:22:15,1860.02,1860.13,1861.2,1861.25,1859.76,1859.84
2023-08-01 01:22:45,1859.98,1860.1,1861.2,1861.25,1859.76,1859.84
2023-08-01 01:23:16,1859.71,1859.86,1860.75,1860.8,1859.41,1859.49
2023-08-01 01:23:47,1859.76,1859.86,1860.75,1860.8,1859.22,1859.3
2023-08-01 01:24:18,1859.69,1859.85,1860.75,1860.8,1859.22,1859.3
2023-08-01 01:24:48,1859.11,1859.25,1860.0,1860.05,1858.53,1858.61
2023-08-01 01:25:19,1858.94,1859.1,1860.0,1860.05,1858.53,1858.61
2023-08-01 01:25:50,1859.01,1859.16,1860.0,1860.05,1858.43,1858.51
2023-08-01 01:26:20,1858.6,1858.74,1859.45,1859.5,1858.19,1858.27
2023-08-01 01:26:51,1857.85,1857.98,1859.1,1859.15,1857.57,1857.65
2023-08-01 01:27:22,1857.96,1858.1,1859.05,1859.1,1857.49,1857.57
2023-08-01 01:27:52,1857.94,1858.1,1859.05,1859.1,1857.49,1857.57
2023-08-01 01:28:23,1857.94,1858.08,1858.55,1858.6,1857.26,1857.34
2023-08-01 01:28:54,1857.82,1857.99,1858.55,1858.6,1857.26,1857.34
2023-08-01 01:29:24,1857.83,1857.98,1858.55,1858.6,1857.26,1857.34
2023-08-01 01:29:55,1857.66,1857.78,1858.55,1858.6,1857.13,1857.21
