timestamp,BTC-07JUL23,BTC-23JUN23,BTC-25AUG23,BTC-28JUL23,BTC-29DEC23,BTC-29SEP23,BTC-30JUN23,BTCPERP,BTCUSDT,BTC-07JUL23_vs_BTCPERP,BTC-07JUL23_vs_BTCUSDT,BTC-23JUN23_vs_BTCPERP,BTC-23JUN23_vs_BTCUSDT,BTC-25AUG23_vs_BTCPERP,BTC-25AUG23_vs_BTCUSDT,BTC-28JUL23_vs_BTCPERP,BTC-28JUL23_vs_BTCUSDT,BTC-29DEC23_vs_BTCPERP,BTC-29DEC23_vs_BTCUSDT,BTC-29SEP23_vs_BTCPERP,BTC-29SEP23_vs_BTCUSDT,BTC-30JUN23_vs_BTCPERP,BTC-30JUN23_vs_BTCUSDT,BTCPERP_vs_BTCPERP,BTCPERP_vs_BTCUSDT,BTCUSDT_vs_BTCPERP,BTCUSDT_vs_BTCUSDT
2023-06-19 16:11:41,26471.03,26441.45,26594.65,26517.51,26967.75,26698.24,26461.84,26406.20,26407.03,64.82999999999811,64.0,35.25,34.42000000000189,188.45000000000073,187.62000000000262,111.30999999999767,110.47999999999956,561.5499999999993,560.7200000000012,292.0400000000009,291.21000000000276,55.63999999999942,54.81000000000131,0.0,-0.8299999999981083,0.8299999999981083,0.0
2023-06-19 16:12:18,26469.25,26439.99,26592.79,26516.25,26954.79,26695.55,26462.40,26406.20,26402.36,63.04999999999927,66.88999999999942,33.79000000000087,37.63000000000102,186.59000000000015,190.4300000000003,110.04999999999927,113.88999999999942,548.5900000000001,552.4300000000003,289.34999999999854,293.1899999999987,56.20000000000073,60.04000000000087,0.0,3.8400000000001455,-3.8400000000001455,0.0
2023-06-19 16:12:41,26466.46,26440.05,26594.30,26517.12,26955.43,26696.33,26464.29,26406.20,26406.86,60.2599999999984,59.599999999998545,33.849999999998545,33.18999999999869,188.09999999999854,187.4399999999987,110.91999999999825,110.2599999999984,549.2299999999996,548.5699999999997,290.130000000001,289.47000000000116,58.090000000000146,57.43000000000029,0.0,-0.6599999999998545,0.6599999999998545,0.0
2023-06-19 16:13:18,26466.37,26440.47,26594.76,26517.44,26955.24,26697.17,26466.11,26406.20,26406.06,60.169999999998254,60.30999999999767,34.27000000000044,34.409999999999854,188.55999999999767,188.6999999999971,111.23999999999796,111.37999999999738,549.0400000000009,549.1800000000003,290.9699999999975,291.10999999999694,59.909999999999854,60.04999999999927,0.0,0.13999999999941792,-0.13999999999941792,0.0
2023-06-19 16:13:41,26465.67,26438.64,26592.12,26517.23,26954.45,26702.30,26466.03,26400.00,26402.46,65.66999999999825,63.20999999999913,38.63999999999942,36.18000000000029,192.11999999999898,189.65999999999985,117.22999999999956,114.77000000000044,554.4500000000007,551.9900000000016,302.2999999999993,299.84000000000015,66.02999999999884,63.56999999999971,0.0,-2.459999999999127,2.459999999999127,0.0
2023-06-19 16:14:18,26466.85,26439.92,26594.90,26517.21,26955.65,26695.76,26467.15,26400.65,26406.40,66.19999999999709,60.44999999999709,39.2699999999968,33.5199999999968,194.25,188.5,116.55999999999767,110.80999999999767,555.0,549.25,295.10999999999694,289.35999999999694,66.5,60.75,0.0,-5.75,5.75,0.0
2023-06-19 16:14:41,26466.69,26439.48,26594.90,26516.83,26955.57,26695.20,26467.06,26400.46,26406.50,66.22999999999956,60.18999999999869,39.02000000000044,32.97999999999956,194.44000000000233,188.40000000000146,116.37000000000262,110.33000000000175,555.1100000000006,549.0699999999997,294.7400000000016,288.7000000000007,66.60000000000218,60.56000000000131,0.0,-6.040000000000873,6.040000000000873,0.0
2023-06-19 16:15:18,26466.90,26435.04,26594.96,26517.09,26959.77,26694.49,26467.16,26401.01,26408.70,65.89000000000306,58.20000000000073,34.030000000002474,26.340000000000146,193.95000000000073,186.2599999999984,116.08000000000175,108.38999999999942,558.760000000002,551.0699999999997,293.4800000000032,285.7900000000009,66.15000000000146,58.45999999999913,0.0,-7.690000000002328,7.690000000002328,0.0
2023-06-19 16:15:42,26467.22,26435.46,26595.70,26517.19,26972.74,26694.61,26467.04,26402.37,26408.70,64.85000000000218,58.52000000000044,33.090000000000146,26.7599999999984,193.33000000000175,187.0,114.81999999999971,108.48999999999796,570.3700000000026,564.0400000000009,292.2400000000016,285.90999999999985,64.67000000000189,58.340000000000146,0.0,-6.330000000001746,6.330000000001746,0.0
2023-06-19 16:16:18,26466.02,26434.27,26594.35,26516.06,26975.34,26693.89,26465.90,26401.07,26410.00,64.95000000000073,56.02000000000044,33.20000000000073,24.270000000000437,193.27999999999884,184.34999999999854,114.9900000000016,106.06000000000131,574.2700000000004,565.3400000000001,292.8199999999997,283.8899999999994,64.83000000000175,55.900000000001455,0.0,-8.930000000000291,8.930000000000291,0.0
2023-06-19 16:16:42,26465.72,26433.94,26593.47,26515.16,26975.62,26692.75,26465.57,26400.94,26410.00,64.78000000000247,55.720000000001164,33.0,23.93999999999869,192.53000000000247,183.47000000000116,114.22000000000116,105.15999999999985,574.6800000000003,565.619999999999,291.8100000000013,282.75,64.63000000000102,55.56999999999971,0.0,-9.06000000000131,9.06000000000131,0.0
2023-06-19 16:17:18,26474.03,26440.02,26600.56,26519.99,26979.10,26700.45,26468.33,26408.90,26415.00,65.12999999999738,59.029999999998836,31.11999999999898,25.020000000000437,191.65999999999985,185.5600000000013,111.09000000000015,104.9900000000016,570.1999999999971,564.0999999999985,291.5499999999993,285.4500000000007,59.43000000000029,53.330000000001746,0.0,-6.099999999998545,6.099999999998545,0.0
2023-06-19 16:17:42,26473.18,26438.70,26599.63,26519.48,26978.54,26699.54,26466.81,26409.00,26418.00,64.18000000000029,55.18000000000029,29.700000000000728,20.700000000000728,190.63000000000102,181.63000000000102,110.47999999999956,101.47999999999956,569.5400000000009,560.5400000000009,290.5400000000009,281.5400000000009,57.81000000000131,48.81000000000131,0.0,-9.0,9.0,0.0
2023-06-19 16:18:18,26474.15,26441.32,26602.65,26521.97,26984.43,26703.41,26467.69,26409.00,26418.00,65.15000000000146,56.150000000001455,32.31999999999971,23.31999999999971,193.65000000000146,184.65000000000146,112.97000000000116,103.97000000000116,575.4300000000003,566.4300000000003,294.40999999999985,285.40999999999985,58.68999999999869,49.68999999999869,0.0,-9.0,9.0,0.0
2023-06-19 16:18:42,26474.56,26441.02,26603.15,26521.50,26984.30,26702.83,26466.91,26409.18,26418.06,65.38000000000102,56.5,31.840000000000146,22.959999999999127,193.97000000000116,185.09000000000015,112.31999999999971,103.43999999999869,575.119999999999,566.239999999998,293.65000000000146,284.77000000000044,57.72999999999956,48.849999999998545,0.0,-8.880000000001019,8.880000000001019,0.0
2023-06-19 16:19:18,26481.01,26447.60,26612.54,26525.57,26972.68,26715.10,26468.15,26412.41,26423.70,68.59999999999854,57.30999999999767,35.18999999999869,23.899999999997817,200.13000000000102,188.84000000000015,113.15999999999985,101.86999999999898,560.2700000000004,548.9799999999996,302.6899999999987,291.3999999999978,55.7400000000016,44.45000000000073,0.0,-11.290000000000873,11.290000000000873,0.0
2023-06-19 16:19:42,26494.09,26447.65,26612.15,26537.83,26971.33,26714.58,26467.77,26411.50,26423.70,82.59000000000015,70.38999999999942,36.150000000001455,23.950000000000728,200.65000000000146,188.45000000000073,126.33000000000175,114.13000000000102,559.8300000000017,547.630000000001,303.08000000000175,290.880000000001,56.27000000000044,44.06999999999971,0.0,-12.200000000000728,12.200000000000728,0.0
2023-06-19 16:20:18,26496.19,26449.60,26612.45,26540.37,26985.75,26710.26,26469.43,26411.50,26423.60,84.68999999999869,72.59000000000015,38.099999999998545,26.0,200.95000000000073,188.85000000000218,128.86999999999898,116.77000000000044,574.25,562.1500000000015,298.7599999999984,286.65999999999985,57.93000000000029,45.830000000001746,0.0,-12.099999999998545,12.099999999998545,0.0
2023-06-19 16:20:42,26483.83,26451.31,26613.41,26540.99,26986.35,26711.72,26470.92,26414.50,26423.70,69.33000000000175,60.13000000000102,36.81000000000131,27.610000000000582,198.90999999999985,189.70999999999913,126.4900000000016,117.29000000000087,571.8499999999985,562.6499999999978,297.22000000000116,288.02000000000044,56.419999999998254,47.219999999997526,0.0,-9.200000000000728,9.200000000000728,0.0
2023-06-19 16:21:18,26499.19,26452.99,26615.44,26542.00,26973.17,26717.61,26473.13,26414.50,26423.70,84.68999999999869,75.48999999999796,38.4900000000016,29.290000000000873,200.9399999999987,191.73999999999796,127.5,118.29999999999927,558.6699999999983,549.4699999999975,303.1100000000006,293.90999999999985,58.63000000000102,49.43000000000029,0.0,-9.200000000000728,9.200000000000728,0.0
2023-06-19 16:21:42,26498.73,26465.85,26614.96,26541.52,26986.24,26717.40,26472.64,26414.50,26423.70,84.22999999999956,75.02999999999884,51.349999999998545,42.14999999999782,200.45999999999913,191.2599999999984,127.02000000000044,117.81999999999971,571.7400000000016,562.5400000000009,302.90000000000146,293.7000000000007,58.13999999999942,48.93999999999869,0.0,-9.200000000000728,9.200000000000728,0.0
2023-06-19 16:22:18,26487.21,26468.86,26616.21,26530.46,26989.45,26719.07,26474.93,26415.24,26425.60,71.96999999999753,61.61000000000058,53.61999999999898,43.26000000000204,200.96999999999753,190.61000000000058,115.21999999999753,104.86000000000058,574.2099999999991,563.8500000000022,303.8299999999981,293.47000000000116,59.68999999999869,49.330000000001746,0.0,-10.359999999996944,10.359999999996944,0.0
2023-06-19 16:22:42,26486.36,26454.27,26615.62,26529.92,26988.59,26718.51,26473.94,26414.95,26425.64,71.40999999999985,60.720000000001164,39.31999999999971,28.63000000000102,200.66999999999825,189.97999999999956,114.96999999999753,104.27999999999884,573.6399999999994,562.9500000000007,303.5599999999977,292.869999999999,58.98999999999796,48.29999999999927,0.0,-10.68999999999869,10.68999999999869,0.0
2023-06-19 16:23:18,26500.58,26454.40,26615.82,26543.82,26975.03,26720.55,26473.83,26415.76,26425.72,84.82000000000335,74.86000000000058,38.640000000003056,28.68000000000029,200.0600000000013,190.09999999999854,128.0600000000013,118.09999999999854,559.2700000000004,549.3099999999977,304.7900000000009,294.8299999999981,58.07000000000335,48.11000000000058,0.0,-9.960000000002765,9.960000000002765,0.0
2023-06-19 16:23:42,26486.41,26454.22,26615.58,26543.66,26974.85,26720.36,26473.60,26415.64,26426.04,70.77000000000044,60.36999999999898,38.580000000001746,28.18000000000029,199.94000000000233,189.54000000000087,128.02000000000044,117.61999999999898,559.2099999999991,548.8099999999977,304.72000000000116,294.3199999999997,57.95999999999913,47.55999999999767,0.0,-10.400000000001455,10.400000000001455,0.0
2023-06-19 16:24:18,26501.23,26469.26,26616.30,26544.82,26989.77,26721.34,26475.07,26416.42,26426.04,84.81000000000131,75.18999999999869,52.840000000000146,43.219999999997526,199.88000000000102,190.2599999999984,128.40000000000146,118.77999999999884,573.3500000000022,563.7299999999996,304.9200000000019,295.2999999999993,58.650000000001455,49.029999999998836,0.0,-9.62000000000262,9.62000000000262,0.0
