timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_ETHUSDTUMCBL_bid,Bitget_ETHUSDTUMCBL_ask
2023-08-01 17:16:33,1835.72,1835.84,1836.35,1836.4,1836.2,1836.21
2023-08-01 17:16:44,1834.94,1835.11,1836.1,1836.15,1835.82,1835.83
2023-08-01 17:16:54,1834.97,1835.1,1835.75,1835.8,1835.82,1835.83
2023-08-01 17:17:05,1834.71,1834.84,1835.35,1835.4,1835.5,1835.51
2023-08-01 17:17:15,1834.6,1834.75,1835.35,1835.4,1835.5,1835.51
2023-08-01 17:17:26,1834.68,1834.78,1835.0,1835.05,1834.85,1834.86
2023-08-01 17:17:37,1834.53,1834.67,1834.9,1834.95,1834.75,1834.77
2023-08-01 17:17:47,1834.1,1834.19,1834.55,1834.6,1834.47,1834.48
2023-08-01 17:17:58,1834.56,1834.59,1835.0,1835.05,1834.71,1834.72
2023-08-01 17:18:09,1834.38,1834.47,1835.0,1835.05,1834.62,1834.63
2023-08-01 17:18:20,1833.96,1834.07,1834.8,1834.85,1834.26,1834.27
2023-08-01 17:18:31,1833.69,1833.83,1834.8,1834.85,1833.91,1833.93
2023-08-01 17:18:42,1834.04,1834.2,1834.8,1834.85,1834.13,1834.14
2023-08-01 17:18:53,1834.6,1834.72,1835.1,1835.15,1834.72,1834.73
2023-08-01 17:19:04,1834.07,1834.21,1834.65,1834.7,1834.42,1834.43
2023-08-01 17:19:15,1833.99,1834.08,1834.55,1834.6,1834.24,1834.25
2023-08-01 17:19:25,1833.61,1833.74,1834.5,1834.55,1833.88,1833.89
2023-08-01 17:19:36,1833.48,1833.65,1834.15,1834.2,1833.75,1833.76
2023-08-01 17:19:46,1833.73,1833.89,1834.55,1834.6,1833.87,1833.88
2023-08-01 17:19:57,1833.53,1833.59,1834.55,1834.6,1833.8,1833.81
2023-08-01 17:20:09,1833.44,1833.56,1834.55,1834.6,1833.7,1833.71
2023-08-01 17:20:20,1832.43,1832.56,1832.9,1832.95,1832.54,1832.56
2023-08-01 17:20:31,1832.74,1832.8,1833.75,1833.8,1832.58,1832.59
2023-08-01 17:20:43,1833.06,1833.16,1833.75,1833.8,1832.71,1832.72
2023-08-01 17:20:54,1833.16,1833.26,1833.5,1833.55,1832.86,1832.87
2023-08-01 17:21:05,1833.34,1833.4,1833.75,1833.8,1833.44,1833.45
2023-08-01 17:21:15,1833.01,1833.16,1833.35,1833.4,1833.08,1833.09
2023-08-01 17:21:28,1832.71,1832.84,1833.05,1833.1,1832.56,1832.57
2023-08-01 17:21:39,1832.65,1832.66,1833.0,1833.05,1832.54,1832.55
2023-08-01 17:21:51,1833.13,1833.2,1833.55,1833.6,1832.99,1833.0
2023-08-01 17:22:02,1833.16,1833.23,1833.3,1833.35,1832.99,1833.0
2023-08-01 17:22:13,1832.89,1832.93,1833.1,1833.15,1832.99,1833.0
2023-08-01 17:22:23,1832.52,1832.63,1832.85,1832.9,1832.5,1832.51
2023-08-01 17:22:34,1832.41,1832.52,1832.85,1832.9,1832.49,1832.5
2023-08-01 17:22:44,1832.01,1832.15,1832.6,1832.65,1832.0,1832.01
2023-08-01 17:22:55,1831.92,1832.05,1832.35,1832.4,1831.8,1831.81
2023-08-01 17:23:06,1832.02,1832.16,1832.3,1832.35,1832.09,1832.1
2023-08-01 17:23:17,1831.61,1831.71,1832.2,1832.25,1831.41,1831.42
2023-08-01 17:23:28,1831.53,1831.68,1832.3,1832.35,1831.45,1831.46
2023-08-01 17:23:39,1831.94,1832.06,1833.1,1833.15,1831.92,1831.93
2023-08-01 17:23:49,1832.06,1832.16,1832.85,1832.9,1832.03,1832.04
2023-08-01 17:24:00,1831.9,1831.95,1832.85,1832.9,1831.77,1831.78
2023-08-01 17:24:11,1831.76,1831.87,1832.85,1832.9,1831.65,1831.66
2023-08-01 17:24:22,1832.36,1832.49,1832.85,1832.9,1832.13,1832.14
2023-08-01 17:24:33,1832.46,1832.54,1833.0,1833.05,1832.44,1832.45
2023-08-01 17:24:45,1832.2,1832.23,1832.85,1832.9,1832.24,1832.25
2023-08-01 17:24:55,1832.42,1832.49,1833.0,1833.05,1832.14,1832.15
2023-08-01 17:25:06,1832.57,1832.61,1833.0,1833.05,1832.44,1832.45
2023-08-01 17:25:17,1833.01,1833.12,1833.45,1833.5,1832.96,1832.97
2023-08-01 17:25:27,1832.41,1832.53,1833.45,1833.5,1832.64,1832.65
2023-08-01 17:25:38,1832.09,1832.2,1832.7,1832.75,1832.0,1832.01
2023-08-01 17:25:48,1831.6,1831.73,1832.6,1832.65,1831.72,1831.74
2023-08-01 17:25:59,1832.1,1832.21,1832.85,1832.9,1832.17,1832.18
2023-08-01 17:26:10,1831.86,1831.97,1832.75,1832.8,1831.84,1831.85
2023-08-01 17:26:21,1831.83,1831.85,1832.75,1832.8,1831.84,1831.85
2023-08-01 17:26:32,1831.6,1831.71,1832.75,1832.8,1831.93,1831.94
2023-08-01 17:26:42,1831.48,1831.56,1832.75,1832.8,1831.65,1831.66
2023-08-01 17:26:53,1831.51,1831.55,1832.6,1832.65,1831.54,1831.56
2023-08-01 17:27:04,1831.61,1831.72,1832.6,1832.65,1831.55,1831.56
2023-08-01 17:27:16,1831.67,1831.77,1832.6,1832.65,1831.73,1831.74
2023-08-01 17:27:26,1832.02,1832.1,1832.6,1832.65,1831.94,1831.95
2023-08-01 17:27:37,1831.61,1831.75,1832.6,1832.65,1831.87,1831.88
2023-08-01 17:27:49,1831.65,1831.79,1832.6,1832.65,1831.8,1831.81
2023-08-01 17:27:59,1831.02,1831.11,1832.0,1832.05,1830.94,1830.95
2023-08-01 17:28:10,1830.94,1831.0,1831.8,1831.85,1830.94,1830.95
2023-08-01 17:28:21,1831.5,1831.6,1832.05,1832.1,1831.21,1831.22
2023-08-01 17:28:32,1831.77,1831.83,1832.4,1832.45,1831.64,1831.65
2023-08-01 17:28:42,1831.68,1831.82,1832.3,1832.35,1831.63,1831.65
2023-08-01 17:28:54,1831.61,1831.71,1832.45,1832.5,1831.63,1831.64
2023-08-01 17:29:05,1831.11,1831.23,1831.9,1831.95,1831.1,1831.11
2023-08-01 17:29:16,1831.4,1831.51,1831.8,1831.85,1831.11,1831.12
2023-08-01 17:29:27,1831.94,1831.95,1832.3,1832.35,1831.8,1831.81
2023-08-01 17:29:38,1831.8,1831.89,1832.3,1832.35,1831.79,1831.8
2023-08-01 17:29:49,1831.6,1831.7,1832.15,1832.2,1831.68,1831.69
2023-08-01 17:29:59,1831.45,1831.5,1832.1,1832.15,1831.61,1831.62
2023-08-01 17:30:10,1831.9,1831.97,1832.9,1832.95,1832.12,1832.13
2023-08-01 17:30:21,1831.73,1831.9,1832.8,1832.85,1831.92,1831.93
2023-08-01 17:30:33,1831.25,1831.35,1832.25,1832.3,1831.58,1831.59
2023-08-01 17:30:43,1831.05,1831.16,1832.0,1832.05,1831.22,1831.23
2023-08-01 17:30:55,1831.41,1831.53,1831.85,1831.9,1831.31,1831.32
2023-08-01 17:31:05,1831.43,1831.46,1831.9,1831.95,1831.43,1831.44
2023-08-01 17:31:17,1831.28,1831.44,1831.85,1831.9,1831.3,1831.32
2023-08-01 17:31:27,1831.06,1831.19,1831.9,1831.95,1831.43,1831.44
2023-08-01 17:31:38,1831.63,1831.73,1832.35,1832.4,1831.53,1831.54
2023-08-01 17:31:48,1831.93,1832.04,1832.2,1832.25,1831.85,1831.86
2023-08-01 17:31:59,1832.35,1832.46,1832.65,1832.7,1832.22,1832.23
2023-08-01 17:32:10,1832.09,1832.2,1832.55,1832.6,1832.08,1832.09
2023-08-01 17:32:20,1831.97,1832.07,1832.55,1832.6,1832.0,1832.01
2023-08-01 17:32:32,1831.81,1831.9,1832.5,1832.55,1831.74,1831.75
2023-08-01 17:32:42,1831.71,1831.8,1832.45,1832.5,1831.83,1831.84
2023-08-01 17:32:54,1831.92,1832.03,1832.45,1832.5,1831.75,1831.76
2023-08-01 17:33:04,1831.74,1831.86,1832.4,1832.45,1831.75,1831.76
2023-08-01 17:33:15,1831.12,1831.19,1832.25,1832.3,1831.19,1831.2
2023-08-01 17:33:25,1831.28,1831.38,1832.0,1832.05,1831.18,1831.19
2023-08-01 17:33:37,1831.37,1831.49,1832.0,1832.05,1831.31,1831.32
2023-08-01 17:33:47,1831.28,1831.39,1832.0,1832.05,1831.3,1831.31
2023-08-01 17:33:58,1831.5,1831.64,1832.0,1832.05,1831.31,1831.32
2023-08-01 17:34:09,1831.44,1831.6,1832.0,1832.05,1831.31,1831.32
2023-08-01 17:34:20,1831.07,1831.2,1832.0,1832.05,1831.3,1831.31
2023-08-01 17:34:31,1830.96,1831.09,1832.0,1832.05,1831.2,1831.21
2023-08-01 17:34:43,1831.08,1831.19,1832.0,1832.05,1831.2,1831.21
2023-08-01 17:34:54,1830.48,1830.64,1831.65,1831.7,1830.5,1830.51
2023-08-01 17:35:05,1830.47,1830.58,1831.65,1831.7,1830.5,1830.51
2023-08-01 17:35:17,1831.14,1831.23,1832.15,1832.2,1830.94,1830.95
2023-08-01 17:35:28,1831.4,1831.51,1832.15,1832.2,1831.24,1831.25
2023-08-01 17:35:38,1830.92,1831.08,1832.15,1832.2,1831.23,1831.24
2023-08-01 17:35:49,1830.61,1830.72,1831.75,1831.8,1831.03,1831.04
