,t,o
74,2022-05-30,"{'1m': 71.7488853292057, '1w': 50.2200061089853, '1y': 68.8222744415727, '2w': 51.2531632255041, '3m': 64.5765480289362, '6m': 67.1261590040365}"
75,2022-05-31,"{'1m': 72.3148887575766, '1w': 48.5229138839404, '1y': 68.8816615987315, '2w': 53.7225338094294, '3m': 64.7614751855869, '6m': 67.2119327547537}"
76,2022-06-01,"{'1m': 73.056135638525, '1w': 56.3919058247362, '1y': 68.8627098062134, '2w': 54.8583894931535, '3m': 61.029178495383, '6m': 67.3591088515525}"
77,2022-06-02,"{'1m': 73.9779629994599, '1w': 65.8497873506888, '1y': 68.9434938726919, '2w': 57.7783756584424, '3m': 61.5419061244996, '6m': 67.6206925912845}"
78,2022-06-03,"{'1m': 74.2976809621048, '1w': 64.7930981848128, '1y': 68.8798825212666, '2w': 55.7445850296599, '3m': 61.5219672789313, '6m': 67.5832204924153}"
79,2022-06-04,"{'1m': 73.6579300372521, '1w': 66.0454976928239, '1y': 68.7429337477641, '2w': 54.8044324595497, '3m': 60.8331770847771, '6m': 64.7548743197969}"
80,2022-06-05,"{'1m': 71.6100140827197, '1w': 65.9645319306643, '1y': 68.6870776566539, '2w': 54.137320133145, '3m': 60.0732300418049, '6m': 64.4499752100711}"
81,2022-06-06,"{'1m': 70.6077471562444, '1w': 64.8506314524745, '1y': 68.7975073393849, '2w': 57.9213555143115, '3m': 60.8608150815021, '6m': 64.7974435672841}"
82,2022-06-07,"{'1m': 72.0599075721133, '1w': 65.902193790458, '1y': 68.9268395204377, '2w': 60.6764541643834, '3m': 61.3384426701005, '6m': 64.7099779185503}"
83,2022-06-08,"{'1m': 72.0224286321446, '1w': 65.9979087877878, '1y': 68.3616037839357, '2w': 61.9203727427591, '3m': 61.5474480887678, '6m': 64.814083839748}"
84,2022-06-09,"{'1m': 69.0675520036234, '1w': 57.4383254051503, '1y': 67.9511837698234, '2w': 61.8065271595649, '3m': 59.6149434832104, '6m': 64.6837408270118}"
85,2022-06-10,"{'1m': 66.9361128197109, '1w': 57.9619751167035, '1y': 67.5526287480805, '2w': 61.8116161760547, '3m': 58.4510941323823, '6m': 64.6690620704593}"
86,2022-06-11,"{'1m': 66.1322561588563, '1w': 59.5118778816057, '1y': 67.5930085098703, '2w': 63.3331689819116, '3m': 58.3995805721096, '6m': 64.7293106612972}"
87,2022-06-12,"{'1m': 61.5462540612095, '1w': 65.5592246620783, '1y': 67.6383492533438, '2w': 67.130313738638, '3m': 58.9905295238419, '6m': 64.912231730392}"
88,2022-06-13,"{'1m': 72.7287052421364, '1w': 93.1254731534231, '1y': 68.9012651139955, '2w': 88.5028476542066, '3m': 64.6998412728642, '6m': 67.4365753403117}"
89,2022-06-14,"{'1m': 79.0544297766673, '1w': 104.419812645972, '1y': 68.9918863789613, '2w': 93.5500824157138, '3m': 67.4431361095431, '6m': 68.7219999723541}"
90,2022-06-15,"{'1m': 80.0114173941702, '1w': 98.0741834593929, '1y': 69.1902391498437, '2w': 95.2131096514694, '3m': 68.1774353928541, '6m': 69.0482022102642}"
91,2022-06-16,"{'1m': 81.1167548995152, '1w': 105.028414177085, '1y': 69.2798260303035, '2w': 97.2603891278428, '3m': 68.2680403794006, '6m': 69.2479007957092}"
92,2022-06-17,"{'1m': 81.6547827312617, '1w': 105.40690042492, '1y': 69.3924804251654, '2w': 97.40440335036, '3m': 68.5053918144664, '6m': 69.4036470965014}"
93,2022-06-18,"{'1m': 84.8066967733127, '1w': 108.322243228551, '1y': 69.7043476947264, '2w': 101.042339629794, '3m': 69.979898611503, '6m': 70.1875190904968}"
