timestamp,Binance_BTCTUSD_Ask,Binance_BTCTUSD_Bid,Bybit_BTCUSDC_Ask,Bybit_BTCUSDC_Bid
2023-08-29 13:11:06,26005.98,26005.23,25970.53,25969.22
2023-08-29 13:11:11,26005.33,26004.63,25970.53,25969.35
2023-08-29 13:11:16,26002.62,26002.09,25968.84,25966.26
2023-08-29 13:11:22,26002.5,26001.83,25968.84,25966.02
2023-08-29 13:11:26,26001.95,26001.66,25968.84,25966.02
2023-08-29 13:11:32,26001.19,26000.44,25967.55,25965.2
2023-08-29 13:11:36,25998.41,25998.01,25965.99,25962.79
2023-08-29 13:11:40,25997.99,25997.01,25965.71,25962.81
2023-08-29 13:11:45,25996.84,25996.08,25964.2,25962.7
2023-08-29 13:11:49,25998.63,25998.02,25966.68,25962.98
2023-08-29 13:11:53,25998.87,25998.57,25966.68,25962.98
2023-08-29 13:11:58,25997.12,25996.89,25965.07,25962.7
2023-08-29 13:12:02,25997.1,25996.55,25965.06,25962.06
2023-08-29 13:12:08,25996.48,25995.75,25963.42,25962.0
2023-08-29 13:12:13,25996.37,25995.94,25963.42,25962.0
2023-08-29 13:12:18,25996.8,25996.39,25963.43,25962.0
2023-08-29 13:12:22,25993.93,25993.44,25961.72,25959.15
2023-08-29 13:12:28,25994.11,25993.24,25962.01,25959.15
2023-08-29 13:12:32,25992.0,25990.75,25958.25,25956.0
2023-08-29 13:12:35,25992.3,25991.56,25960.53,25958.02
2023-08-29 13:12:41,25990.54,25989.68,25957.81,25955.24
2023-08-29 13:12:46,25993.57,25992.75,25961.05,25958.02
2023-08-29 13:12:51,25993.43,25992.82,25961.05,25958.03
2023-08-29 13:12:56,25991.98,25991.28,25958.23,25956.01
2023-08-29 13:13:00,25992.49,25992.06,25958.29,25956.01
2023-08-29 13:13:04,25988.53,25988.22,25955.42,25953.21
2023-08-29 13:13:09,25987.63,25987.02,25955.25,25952.0
2023-08-29 13:13:14,25986.73,25986.0,25953.57,25950.97
2023-08-29 13:13:18,25986.97,25986.41,25954.32,25952.36
2023-08-29 13:13:22,25986.59,25985.93,25954.32,25951.29
2023-08-29 13:13:26,25985.78,25985.08,25954.0,25951.33
2023-08-29 13:13:30,25987.43,25986.34,25954.32,25952.19
2023-08-29 13:13:36,25985.11,25984.94,25954.79,25952.2
2023-08-29 13:13:41,25985.18,25985.17,25953.55,25951.35
2023-08-29 13:13:46,25985.2,25984.64,25953.71,25950.29
2023-08-29 13:13:50,25985.0,25984.99,25953.31,25950.29
2023-08-29 13:13:54,25986.98,25986.74,25954.52,25951.67
2023-08-29 13:13:59,25985.04,25984.73,25953.2,25950.98
2023-08-29 13:14:03,25984.0,25983.38,25951.24,25950.2
2023-08-29 13:14:08,25985.48,25985.22,25953.58,25951.0
2023-08-29 13:14:12,25985.53,25985.01,25953.99,25951.01
2023-08-29 13:14:16,25985.86,25985.64,25953.99,25951.01
2023-08-29 13:14:20,25985.86,25985.39,25953.99,25951.01
2023-08-29 13:14:24,25987.04,25986.4,25953.99,25951.01
2023-08-29 13:14:30,25989.87,25989.03,25956.71,25954.12
2023-08-29 13:14:34,25989.21,25988.54,25956.69,25954.12
2023-08-29 13:14:39,25989.12,25988.33,25956.69,25954.12
2023-08-29 13:14:42,25988.14,25987.45,25955.84,25953.04
2023-08-29 13:14:45,25986.46,25986.21,25956.0,25953.62
2023-08-29 13:14:50,25988.68,25988.01,25955.98,25953.62
2023-08-29 13:14:54,25988.54,25988.0,25955.98,25953.62
2023-08-29 13:14:59,25988.59,25988.4,25955.99,25953.81
2023-08-29 13:15:03,25990.09,25989.61,25957.73,25955.25
2023-08-29 13:15:08,25991.92,25991.44,25958.82,25956.03
2023-08-29 13:15:13,25993.32,25993.03,25961.0,25960.99
2023-08-29 13:15:17,25994.99,25994.7,25962.99,25962.98
2023-08-29 13:15:22,25995.16,25994.47,25961.79,25959.62
2023-08-29 13:15:27,25994.29,25993.55,25961.78,25960.01
2023-08-29 13:15:32,25995.06,25994.53,25961.77,25959.24
2023-08-29 13:15:37,25993.86,25993.62,25961.77,25958.34
2023-08-29 13:15:41,25994.4,25993.38,25961.04,25959.86
2023-08-29 13:15:47,25993.77,25993.34,25961.77,25958.99
2023-08-29 13:15:53,25993.49,25993.03,25960.72,25958.76
2023-08-29 13:15:57,25993.42,25992.81,25960.71,25958.2
2023-08-29 13:16:02,25993.99,25993.32,25960.72,25959.51
2023-08-29 13:16:07,25995.95,25995.29,25962.04,25961.25
2023-08-29 13:16:10,25994.96,25994.47,25962.03,25960.44
2023-08-29 13:16:16,25995.6,25995.26,25962.04,25960.44
2023-08-29 13:16:21,25993.45,25992.89,25961.41,25958.02
2023-08-29 13:16:25,25993.37,25992.5,25961.41,25958.37
2023-08-29 13:16:30,25992.9,25992.4,25961.41,25958.37
